姓名,作者,图片,简介
Cascading style sheets 2.0,Eric A. Meyer,http://www.allitebooks.com/wp-content/uploads/2019/03/Cascading-style-sheets-2.0-353x500.jpg,"This handy resource gives you programming essentials at your fingertips, including all the new tags and features in CSS 2.0 The most authoritative quick reference available for CSS programmers. This handy resource gives you programming essentials at your fingertips, including all the new tags and features in CSS…"
Macromedia Studio 8 All-in-One Desk Reference For Dummies,Andy Cowitt,http://www.allitebooks.com/wp-content/uploads/2019/03/Macromedia-Studio-8-All-in-One-Desk-Reference-For-Dummies.jpg,"Your one-stop guide to six great Macromedia tools for building Web sites It’s like a Web-site-in-a-book! First, there’s some Web site insight to help you decide what you want your site to do. Then it’s into the nitty-gritty of making it happen – building with Dreamweaver, adding animation…"
The Microsoft Outlook Ideas Book,Damon Dean,http://www.allitebooks.com/wp-content/uploads/2019/03/The-Microsoft-Outlook-Ideas-Book-400x494.jpg,"A fast-paced guide for instruction and inspiration on creating powerful solutions for small businesses and organizations using Outlook. Throw away your other applications, and learn to use Outlook in practical ways that you never imagined possible! This book is for users who are comfortable with the basic functions…"
"iText in action, Second Edition",Barbara March,http://www.allitebooks.com/wp-content/uploads/2019/03/iText-in-action-Second-Edition.jpg,"With iText, one can transform PDF documents into live, interactive applications quickly and easily. This free and open source library for Java and .NET is the leading tool of its kind, and was primarily developed and maintained by Bruno Lowagie, the author of this book. iText in Action,…"
Getting Started with SBT for Scala,Bruno Lowagie,http://www.allitebooks.com/wp-content/uploads/2019/03/Getting-Started-with-SBT-for-Scala-400x493.jpg,"Build tools are a boon to developers working on large projects. With the configuration to run/execute the project moved out, developers can focus more on the project. SBT is a build tool designed for Scala and Java projects. It provides developers with a high productivity work environment hence…"
"WordPress All-In-One For Dummies, 4th Edition",Shiti Saxena,http://www.allitebooks.com/wp-content/uploads/2019/03/WordPress-All-In-One-For-Dummies-4th-Edition.jpg,"Set up your WordPress site today! WordPress is a state-of-the-art blog publishing platform with a focus on aesthetics, web standards, and usability. The latest version of WordPress.org will be replaced in the fall of 2018 with WordPress 5.0.  This will include a major change with the addition of…"
Professional Outlook 2007 Programming,Lisa Sabin-Wilson,http://www.allitebooks.com/wp-content/uploads/2019/03/Professional-Outlook-2007-Programming.jpg,"Written by one of the most popular and knowledgeable Microsoft Outlook MVPs, this book fills a void in the market for a professional-level Outlook programming book Explains how to use the many new features of Outlook 2007’s object model and offers honest advice from the author on how…"
Learning MCollective,Ken Slovak,http://www.allitebooks.com/wp-content/uploads/2019/03/Learning-MCollective.jpg,"Orchestrate change across server clusters in near realtime with MCollective, the framework that works in concert with Puppet, Chef, and other configuration management tools. Ideal for system administrators and operations or DevOps engineers at any level, this hands-on guide teaches you how to build and test a real…"
Spring 2.5 Aspect Oriented Programming,Jo Rhett,http://www.allitebooks.com/wp-content/uploads/2019/03/Spring-2.5-Aspect-Oriented-Programming.jpg,"Develop real-world applications using the AOP features of the Spring framework. If you are a Java software architect, engineer, or developer and want to be able to write applications in a more modular and concise way by using Spring, then you need this book. Readers need basic knowledge…"
"Dependency Injection Principles, Practices, and Patterns",Mark Seemann,http://www.allitebooks.com/wp-content/uploads/2019/03/Dependency-Injection-Principles-Practices-and-Patterns.jpg,"Dependency Injection Principles, Practices, and Patterns teaches you to use DI to reduce hard-coded dependencies between application components. You’ll start by learning what DI is and what types of applications will benefit from it. Then, you’ll work through concrete scenarios using C# and the .NET framework to implement DI…"
Beginning MySQL,Steven van Deursen,http://www.allitebooks.com/wp-content/uploads/2019/03/Beginning-MySQL-393x500.jpg,"Provides programmers with a complete foundation in MySQL, the multi-user, multi-threaded SQL database server that easily stores, updates, and accesses information Offers detailed instructions for MySQL installation and configuration on either Windows or Linux Shows how to create a database, work with SQL, add and modify data, run…"
Professional LAMP,Geoff Moes,http://www.allitebooks.com/wp-content/uploads/2019/03/Professional-LAMP-400x493.jpg,"The combination of Linux, Apache, MySQL, and PHP is popular because of interaction, flexibility, customization, and-most importantly-the cost effectiveness of its components Helps LAMP professionals take their skills to the next level with in-depth discussions of OOP; extensions of PHP such as PEAR, GD, XML, and CURL; improving…"
"The Well-Grounded Rubyist, 3rd Edition",Robert Sheldon,http://www.allitebooks.com/wp-content/uploads/2019/03/The-Well-Grounded-Rubyist-3rd-Edition.jpg,"The Well-Grounded Rubyist, Third Edition is a beautifully written tutorial that begins with your first Ruby program and takes you all the way to sophisticated topics like reflection, threading, and recursion. Ruby masters David A. Black and Joe Leo distill their years of knowledge for you, concentrating on the…"
"Pro Python 3, 3rd Edition",Elizabeth Naramore,http://www.allitebooks.com/wp-content/uploads/2019/03/Pro-Python-3.jpg,"Refine your programming techniques and approaches to become a more productive and creative Python programmer. This book explores the concepts and features that will improve not only your code but also your understanding of the Python community with insights and details about the Python philosophy. Pro Python 3, Third…"
PySpark SQL Recipes,Jason Gerner,http://www.allitebooks.com/wp-content/uploads/2019/03/PySpark-SQL-Recipes.jpg,"Carry out data analysis with PySpark SQL, graphframes, and graph data processing using a problem-solution approach. This book provides solutions to problems related to dataframes, data manipulation summarization, and exploratory analysis. You will improve your skills in graph data analysis using graphframes and see how to optimize your…"
Arch Linux Environment set-up How-To,Matt Warden,http://www.allitebooks.com/wp-content/uploads/2019/03/Arch-Linux-Environment-set-up-How-To-400x493.jpg,"Over the years there have been many Linux distributions out there, some are trying to do everything for you, others don’t. Arch Linux tries to be easy and user-friendly for developers and enthusiasts who are willing to customize their system to the maximum. “Arch Linux Environment Setup How-to”…"
Mastering Apache Camel,Morgan Owens,http://www.allitebooks.com/wp-content/uploads/2019/03/Mastering-Apache-Camel-400x493.jpg,"This book will provide you with the skills you need to efficiently create routes using Apache Camel. After briefly introducing the key features and core concepts of Camel, the book will take you through all the important features and components, starting with routing and processors. You will learn…"
Pro ASP.NET 2.0 Website Programming,David A. Black,http://www.allitebooks.com/wp-content/uploads/2019/03/Pro-ASP.NET-2.0-Website-Programming.jpg,"Pro ASP.NET 2.0 Website Programming tackles real business problems. This comprehensive reference book provides insights into practices that help reduce maintenance costs, decrease development time, and manage user perception. If you have some familiarity with ASP.NET, VB .NET, and Visual Studio, then this book will show you how…"
Kivy Cookbook,III Leo Joseph,http://www.allitebooks.com/wp-content/uploads/2019/03/Kivy-Cookbook-400x493.jpg,"Kivy is an open-source Python library for rapid development of applications that make use of innovative user interfaces, such as multi-touch apps. It is a promising Python framework to develop UI and UX apps in a cross-platform environment, under the Python philosophy. Kivy Cookbook is a practical book…"
